Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,Epifania Sáhinos Pérez ESP / Areli Ponce GArcía APG,Transcription,Translation,Tokenization,Surface Segmentation,Canonical Segmentation,Surface Glossing,Canonical Glossing,Notes,,,,,
0:00:00,0,0,00:00:00:00,0:00:04,4.094,4094,00:00:04:02,0:00:04,4.094,4094,00:00:04:02,APG,Kali:chiwi:na'wi kini n chu: iyma:,Hablemos de este,,,,,,,,,,,
0:00:00,0,0,00:00:00:00,0:00:01,0.818,818,00:00:00:20,0:00:01,0.818,818,00:00:00:20,,,,kali:chiwi:na'wi,ka-li:-chiwi:-na'-w-i,ka-li:-chiwi:-nan-'w,IRR-INS-V.talk-ANTIP-1SBJ.SG-JNCT,IRR-INS-V.talk-ANTIP-1SBJ.SG,,,,,,
0:00:01,0.818,818,00:00:00:20,0:00:02,1.637,1637,00:00:01:15,0:00:01,0.819,819,00:00:00:20,,,,kini,kin-i,kin,PRN.1SBJ.PL-JNCT,PRN.1SBJ.PL,,,,,,
0:00:02,1.637,1637,00:00:01:15,0:00:02,2.456,2456,00:00:02:11,0:00:01,0.819,819,00:00:00:20,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:02,2.456,2456,00:00:02:11,0:00:03,3.275,3275,00:00:03:06,0:00:01,0.819,819,00:00:00:20,,,,chu:,chu:,chu:,PTCL,PTCL,,,,,,
0:00:03,3.275,3275,00:00:03:06,0:00:04,4.094,4094,00:00:04:02,0:00:01,0.819,819,00:00:00:20,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:04,4.094,4094,00:00:04:02,0:00:08,8.281,8281,00:00:08:07,0:00:04,4.187,4187,00:00:04:04,APG,"usa miya:k, usa palhma, usa tawá:'n, tu: n tla:n li:laqapasa:'wi iyma:","bejuco, hierba, hoja o como sea que conozcamos a este",,,,,,,,,,,
0:00:04,4.094,4094,00:00:04:02,0:00:04,4.474,4474,00:00:04:11,0:00:00,0.38,380,00:00:00:09,,,,usa,usa,usa,INTJ,INTJ,,,,,,
0:00:04,4.474,4474,00:00:04:11,0:00:05,4.855,4855,00:00:04:21,0:00:00,0.381,381,00:00:00:09,,,,miya:k,miya:k,miya:k,vine,vine,,,,,,
0:00:05,4.855,4855,00:00:04:21,0:00:05,5.235,5235,00:00:05:05,0:00:00,0.38,380,00:00:00:09,,,,usa,usa,usa,INTJ,INTJ,,,,,,
0:00:05,5.235,5235,00:00:05:05,0:00:06,5.616,5616,00:00:05:15,0:00:00,0.381,381,00:00:00:09,,,,palhma,palhma,palhma',plant,plant,,,,,,
0:00:06,5.616,5616,00:00:05:15,0:00:06,5.997,5997,00:00:05:24,0:00:00,0.381,381,00:00:00:09,,,,usa,usa,usa,INTJ,INTJ,,,,,,
0:00:06,5.997,5997,00:00:05:24,0:00:06,6.377,6377,00:00:06:09,0:00:00,0.38,380,00:00:00:09,,,,tawá:'n,tawá:'n,tawá:'n,plant,plant,,,,,,
0:00:06,6.377,6377,00:00:06:09,0:00:07,6.758,6758,00:00:06:18,0:00:00,0.381,381,00:00:00:09,,,,tu:,tu:,tu:,NREL,NREL,,,,,,
0:00:07,6.758,6758,00:00:06:18,0:00:07,7.139,7139,00:00:07:03,0:00:00,0.381,381,00:00:00:09,,,,n,n,n,EPEN,EPEN,,,,,,
0:00:07,7.139,7139,00:00:07:03,0:00:08,7.519,7519,00:00:07:12,0:00:00,0.38,380,00:00:00:09,,,,tla:n,tla:n,tla:n,good,good,,,,,,
0:00:08,7.519,7519,00:00:07:12,0:00:08,7.9,7900,00:00:07:22,0:00:00,0.381,381,00:00:00:09,,,,li:laqapasa:'wi,li:-laqapas-a:'-w-i,li:-laqapas-a:'-'w,INS-V.recognize-IPFV-1SBJ.PL-JNCT [PRES],INS-V.recognize-IPFV-1SBJ.PL [PRES],,,,,,
0:00:08,7.9,7900,00:00:07:22,0:00:08,8.281,8281,00:00:08:07,0:00:00,0.381,381,00:00:00:09,,,,iyma:,iyma:,iyma:,DEM,DEM,,,,,,
0:00:08,8.281,8281,00:00:08:07,0:00:10,9.86,9860,00:00:09:21,0:00:02,1.579,1579,00:00:01:14,APG,"taxa:'k wanikán,","que llaman taxa:'k (Toxicodendron radicans),",,,,,,,,,,,
0:00:08,8.281,8281,00:00:08:07,0:00:09,9.07,9070,00:00:09:01,0:00:01,0.789,789,00:00:00:19,,,,taxa:'k,taxa:'k,taxa:'k,Toxicodendron.radicans,Toxicodendron.radicans,,,,,,
0:00:09,9.07,9070,00:00:09:01,0:00:10,9.86,9860,00:00:09:21,0:00:01,0.79,790,00:00:00:19,,,,wanikán,wa-ni-kán,wan-ni-kan,V.say-DAT-REFL [3SBJ.SG PRES IPFV],V.say-DAT-REFL [3SBJ.SG PRES IPFV],,,,,,
0:00:10,9.86,9860,00:00:09:21,0:00:15,14.688,14688,00:00:14:17,0:00:05,4.828,4828,00:00:04:20,APG,"laqapasa:'wi kini iyma: n tawa:'ni n pi likwa xa ma:tsi'tsi:nán, likwa n tama:yi ktiji',","conocemos perfectamente a esta hierba que es muy dañina, se puede hallar fácilmente sobre los caminos,",,,,,,,,,,,
