Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,ESP Epifania Sahinos Pérez / APG Areli Ponce García,Transcription,Traducción,Tokenization,Surface Segmentation,Canonical Segmentation,Surface Glossing,Canonical Glossing,Notes
0:00:00,0,0,00:00:00:00,0:00:04,3.952,3952,00:00:03:23,0:00:04,3.952,3952,00:00:03:23,APG,Wa: n chu: kali:chiwi:na'wi iyma: tlanka:liya,En estos momentos hablemos de,,,,,,
0:00:00,0,0,00:00:00:00,0:00:01,0.658,658,00:00:00:16,0:00:01,0.658,658,00:00:00:16,,,,Wa:,wa:,wa:,FOC,FOC,
0:00:01,0.658,658,00:00:00:16,0:00:01,1.317,1317,00:00:01:07,0:00:01,0.659,659,00:00:00:16,,,,n,n,n,EPEN,EPEN,
0:00:01,1.317,1317,00:00:01:07,0:00:02,1.976,1976,00:00:01:24,0:00:01,0.659,659,00:00:00:16,,,,chu:,chu:,chu:,PTCL,PTCL,
0:00:02,1.976,1976,00:00:01:24,0:00:03,2.634,2634,00:00:02:15,0:00:01,0.658,658,00:00:00:16,,,,kali:chiwi:na'wi,ka-li:-chiwi:-na'-w-i,ka-li:-chiwi:-nan-'w,IRR-INS-V.talk-ANTIP-1SBJ.SG-JNCT,IRR-INS-V.talk-ANTIP-1SBJ.SG,
0:00:03,2.634,2634,00:00:02:15,0:00:03,3.293,3293,00:00:03:07,0:00:01,0.659,659,00:00:00:16,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:03,3.293,3293,00:00:03:07,0:00:04,3.952,3952,00:00:03:23,0:00:01,0.659,659,00:00:00:16,,,,tlanka:liya,tlanka:liya,tlanka:liyah,moment,moment,
0:00:04,3.952,3952,00:00:03:23,0:00:07,6.538,6538,00:00:06:13,0:00:03,2.586,2586,00:00:02:14,APG,"xla n pú:lhuku', nitakatsí: wixi n pala na: laqapasa'.",este pú:lhuku' (Critonia morifolia). ¿No sé si lo conozcas?,,,,,,
0:00:04,3.952,3952,00:00:03:23,0:00:04,4.239,4239,00:00:04:05,0:00:00,0.287,287,00:00:00:07,,,,xla,xla,xla',PRN.3SBJ.SG,PRN.3SBJ.SG,
0:00:04,4.239,4239,00:00:04:05,0:00:05,4.526,4526,00:00:04:13,0:00:00,0.287,287,00:00:00:07,,,,n,n,n,EPEN,EPEN,
0:00:05,4.526,4526,00:00:04:13,0:00:05,4.814,4814,00:00:04:20,0:00:00,0.288,288,00:00:00:07,,,,pú:lhuku',pú:lhuku',pú:lhuku',Critonia.morifolia,Critonia.morifolia,
0:00:05,4.814,4814,00:00:04:20,0:00:05,5.101,5101,00:00:05:02,0:00:00,0.287,287,00:00:00:07,,,,nitakatsí:,ni-ta-katsí:,ni-ta-katsí:,NEG-INC-V.know,NEG-INC-V.know,
0:00:05,5.101,5101,00:00:05:02,0:00:05,5.388,5388,00:00:05:09,0:00:00,0.287,287,00:00:00:07,,,,wixi,wix-i,wix,PRN.2SBJ.SG-JNCT,PRN.2SBJ.SG,
0:00:05,5.388,5388,00:00:05:09,0:00:06,5.676,5676,00:00:05:16,0:00:00,0.288,288,00:00:00:07,,,,n,n,n,EPEN,EPEN,
0:00:06,5.676,5676,00:00:05:16,0:00:06,5.963,5963,00:00:05:24,0:00:00,0.287,287,00:00:00:07,,,,pala,pala,pala,CONJ,CONJ,
0:00:06,5.963,5963,00:00:05:24,0:00:06,6.25,6250,00:00:06:06,0:00:00,0.287,287,00:00:00:07,,,,na:,na:,na:,aslo,also,
0:00:06,6.25,6250,00:00:06:06,0:00:07,6.538,6538,00:00:06:13,0:00:00,0.288,288,00:00:00:07,,,,laqapasa',laqapas-a-',laqapas-a:'-',V.recognize-IPFV-2SBJ.SG [PRES],V.recognize-IPFV-2SBJ.SG [PRES],
0:00:07,6.538,6538,00:00:06:13,0:00:09,9.436,9436,00:00:09:10,0:00:03,2.898,2898,00:00:02:22,APG,Anani iyma: jkinka:chiki:nkani iyma: n pú:lhuku,En nuestro pueblo se distribuye este pú:lhuku',,,,,,
0:00:07,6.538,6538,00:00:06:13,0:00:07,7.021,7021,00:00:07:00,0:00:00,0.483,483,00:00:00:12,,,,Anani,anan-i,anan-a:',V.exist-JNCT [3SBJ.SG PRES IPFV],V.exist-IPFV [3SBJ.SG PRES],
0:00:07,7.021,7021,00:00:07:00,0:00:08,7.504,7504,00:00:07:12,0:00:00,0.483,483,00:00:00:12,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:08,7.504,7504,00:00:07:12,0:00:08,7.987,7987,00:00:07:24,0:00:00,0.483,483,00:00:00:12,,,,jkinka:chiki:nkani,j-kin-ka:-chiki-:n-kan-i,k-kin-ka:-chiki'-in-kan,LOC-1POSS-PLC-house-PL-PL.POSS-JNCT,LOC-1POSS-PLC-house-PL-PL.POSS,
0:00:08,7.987,7987,00:00:07:24,0:00:08,8.47,8470,00:00:08:11,0:00:00,0.483,483,00:00:00:12,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:08,8.47,8470,00:00:08:11,0:00:09,8.953,8953,00:00:08:23,0:00:00,0.483,483,00:00:00:12,,,,n,n,n,EPEN,EPEN,
0:00:09,8.953,8953,00:00:08:23,0:00:09,9.436,9436,00:00:09:10,0:00:00,0.483,483,00:00:00:12,,,,pú:lhuku,pú:lhuku,pú:lhuku',Critonia.morifolia,Critonia.morifolia,
0:00:09,9.436,9436,00:00:09:10,0:00:13,13.135,13135,00:00:13:03,0:00:04,3.699,3699,00:00:03:17,APG,n lu:lakaskinqo:'kani n pala ka li:pakananqo:'kani anta:ni n pala,que es ocupado como cerca viva en lugares,,,,,,
0:00:09,9.436,9436,00:00:09:10,0:00:10,9.847,9847,00:00:09:21,0:00:00,0.411,411,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:10,9.847,9847,00:00:09:21,0:00:10,10.258,10258,00:00:10:06,0:00:00,0.411,411,00:00:00:10,,,,lu:lakaskinqo:'kani,lu:-lakaskin-qo:'-kan-i,lu:-lakaskin-qo:'-kan,INTNS-V.use-3PL-REFL-JNCT [PRES],INTNS-V.use-3PL-REFL [PRES],
0:00:10,10.258,10258,00:00:10:06,0:00:11,10.669,10669,00:00:10:16,0:00:00,0.411,411,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:11,10.669,10669,00:00:10:16,0:00:11,11.08,11080,00:00:11:02,0:00:00,0.411,411,00:00:00:10,,,,pala,pala,pala,CONJ,CONJ,
0:00:11,11.08,11080,00:00:11:02,0:00:11,11.491,11491,00:00:11:12,0:00:00,0.411,411,00:00:00:10,,,,ka,ka,kah,only,only,
0:00:11,11.491,11491,00:00:11:12,0:00:12,11.902,11902,00:00:11:22,0:00:00,0.411,411,00:00:00:10,,,,li:pakananqo:'kani,li:-pakanan-qo:'-kan-i,li:-pakanan-qo:'-kan,INS-V.fence-3PL-INDEF-JNCT,INS-V.fence-3PL-INDEF,
0:00:12,11.902,11902,00:00:11:22,0:00:12,12.313,12313,00:00:12:07,0:00:00,0.411,411,00:00:00:10,,,,anta:ni,anta:ni,anta:ni,where,where,
0:00:12,12.313,12313,00:00:12:07,0:00:13,12.724,12724,00:00:12:18,0:00:00,0.411,411,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:13,12.724,12724,00:00:12:18,0:00:13,13.135,13135,00:00:13:03,0:00:00,0.411,411,00:00:00:10,,,,pala,pala,pala,CONJ,CONJ,
0:00:13,13.135,13135,00:00:13:03,0:00:16,15.858,15858,00:00:15:21,0:00:03,2.723,2723,00:00:02:18,APG,"nipalha n tiyit wa: wali:qo:'kán li:...,",con suelos arenosos para,,,,,,
0:00:13,13.135,13135,00:00:13:03,0:00:14,13.588,13588,00:00:13:14,0:00:00,0.453,453,00:00:00:11,,,,nipalha,ni-palha,ni-palha',NEG-hard,NEG-hard,
0:00:14,13.588,13588,00:00:13:14,0:00:14,14.042,14042,00:00:14:01,0:00:00,0.454,454,00:00:00:11,,,,n,n,n,EPEN,EPEN,
0:00:14,14.042,14042,00:00:14:01,0:00:14,14.496,14496,00:00:14:12,0:00:00,0.454,454,00:00:00:11,,,,tiyit,tiyit,tiyit,soil,soil,
0:00:14,14.496,14496,00:00:14:12,0:00:15,14.95,14950,00:00:14:23,0:00:00,0.454,454,00:00:00:11,,,,wa:,wa:,wa:,FOC,FOC,
0:00:15,14.95,14950,00:00:14:23,0:00:15,15.404,15404,00:00:15:10,0:00:00,0.454,454,00:00:00:11,,,,wali:qo:'kán,wali:-qo:'-kán,wali:-qo:'-kan,V:put-3PL-INDEF,V:put-3PL-INDEF,
0:00:15,15.404,15404,00:00:15:10,0:00:16,15.858,15858,00:00:15:21,0:00:00,0.454,454,00:00:00:11,,,,"li:...,",li:-[FS],li:-[FS],INS-[FS],INS-[FS],
0:00:16,15.858,15858,00:00:15:21,0:00:19,18.55,18550,00:00:18:13,0:00:03,2.692,2692,00:00:02:17,APG,li:ma:chuqoqo:'kani n pala ani n tapankná'.,evitar posibles deslaves.,,,,,,
0:00:16,15.858,15858,00:00:15:21,0:00:16,16.306,16306,00:00:16:07,0:00:00,0.448,448,00:00:00:11,,,,li:ma:chuqoqo:'kani,li:-ma:-chuqo-qo:'-kan-i,li:-ma:-chuqo-qo:'-kan,INS-CAUS-V.detain-3PL-INDEF-JNCT,INS-CAUS-V.detain-3PL-INDEF,
0:00:16,16.306,16306,00:00:16:07,0:00:17,16.755,16755,00:00:16:18,0:00:00,0.449,449,00:00:00:11,,,,n,n,n,EPEN,EPEN,
0:00:17,16.755,16755,00:00:16:18,0:00:17,17.204,17204,00:00:17:05,0:00:00,0.449,449,00:00:00:11,,,,pala,pala,pala,CONJ,CONJ,
0:00:17,17.204,17204,00:00:17:05,0:00:18,17.652,17652,00:00:17:16,0:00:00,0.448,448,00:00:00:11,,,,ani,an-i,an-a:',V.go-JNCT [3SBJ.SG PRES IPFV],V.go-IPFV [3SBJ.SG PRES],
0:00:18,17.652,17652,00:00:17:16,0:00:18,18.101,18101,00:00:18:02,0:00:00,0.449,449,00:00:00:11,,,,n,n,n,EPEN,EPEN,
0:00:18,18.101,18101,00:00:18:02,0:00:19,18.55,18550,00:00:18:13,0:00:00,0.449,449,00:00:00:11,,,,tapankná',tapankná',tapankná',landslide,landslide,
0:00:19,18.55,18550,00:00:18:13,0:00:21,20.64,20640,00:00:20:16,0:00:02,2.09,2090,00:00:02:02,ESP,"Xli:ka:na n ti: kilhwampa:'t, luwa","Es verdad lo que dices, se",,,,,,
0:00:19,18.55,18550,00:00:18:13,0:00:19,18.968,18968,00:00:18:24,0:00:00,0.418,418,00:00:00:10,,,,Xli:ka:na,xli:ka:na,xli:ka:nah,true,true,
0:00:19,18.968,18968,00:00:18:24,0:00:19,19.386,19386,00:00:19:09,0:00:00,0.418,418,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:19,19.386,19386,00:00:19:09,0:00:20,19.804,19804,00:00:19:20,0:00:00,0.418,418,00:00:00:10,,,,ti:,ti:,ti:,HREL,HREL,
0:00:20,19.804,19804,00:00:19:20,0:00:20,20.222,20222,00:00:20:05,0:00:00,0.418,418,00:00:00:10,,,,kilhwampa:'t,kilh-wám-pa:'-t,kilh.wan-pa:'-t,mouth-V.say-PROG.2SBJ-2SBJ.SG,mouth-V.say-PROG.2SBJ-2SBJ.SG,
0:00:20,20.222,20222,00:00:20:05,0:00:21,20.64,20640,00:00:20:16,0:00:00,0.418,418,00:00:00:10,,,,luwa,luwa,luwa,very,very,
0:00:21,20.64,20640,00:00:20:16,0:00:24,23.93,23930,00:00:23:23,0:00:03,3.29,3290,00:00:03:07,ESP,"katu:wa li:..., li:maklakaskina:'wi n ti:má n ki'wi",usa para muchas cosas este árbol,,,,,,
0:00:21,20.64,20640,00:00:20:16,0:00:21,21.11,21110,00:00:21:02,0:00:00,0.47,470,00:00:00:11,,,,katu:wa,katu:wa,katu:wah,many,many,
0:00:21,21.11,21110,00:00:21:02,0:00:22,21.58,21580,00:00:21:14,0:00:00,0.47,470,00:00:00:11,,,,"li:...,",li:-[FS],li:-[FS],INS-[FS],INS-[FS],
0:00:22,21.58,21580,00:00:21:14,0:00:22,22.05,22050,00:00:22:01,0:00:00,0.47,470,00:00:00:11,,,,li:maklakaskina:'wi,li:-mak-lakaskin-á:'-w-i,li:-mak-lakaskin-á:'-'w,INS-body-V.use-IPFV-1SBJ.PL-JNCT,INS-body-V.use-IPFV-1SBJ.PL,
0:00:22,22.05,22050,00:00:22:01,0:00:23,22.52,22520,00:00:22:13,0:00:00,0.47,470,00:00:00:11,,,,n,n,n,EPEN,EPEN,
0:00:23,22.52,22520,00:00:22:13,0:00:23,22.99,22990,00:00:22:24,0:00:00,0.47,470,00:00:00:11,,,,ti:má,ti:-má,ti:-máh,DEIC-V.lie.down,DEIC-V.lie.down,
0:00:23,22.99,22990,00:00:22:24,0:00:23,23.46,23460,00:00:23:11,0:00:00,0.47,470,00:00:00:11,,,,n,n,n,EPEN,EPEN,
0:00:23,23.46,23460,00:00:23:11,0:00:24,23.93,23930,00:00:23:23,0:00:00,0.47,470,00:00:00:11,,,,ki'wi,ki'wi,ki'wi',tree,tree,
0:00:24,23.93,23930,00:00:23:23,0:00:26,25.73,25730,00:00:25:18,0:00:02,1.8,1800,00:00:01:20,ESP,"pú:lhuku', n li:pakanana'.","de pú:lhuku', como para cercar.",,,,,,
0:00:24,23.93,23930,00:00:23:23,0:00:25,24.53,24530,00:00:24:13,0:00:01,0.6,600,00:00:00:15,,,,pú:lhuku',pú:lhuku',pú:lhuku',Critonia.morifolia,Critonia.morifolia,
0:00:25,24.53,24530,00:00:24:13,0:00:25,25.13,25130,00:00:25:03,0:00:01,0.6,600,00:00:00:15,,,,n,n,n,EPEN,EPEN,
0:00:25,25.13,25130,00:00:25:03,0:00:26,25.73,25730,00:00:25:18,0:00:01,0.6,600,00:00:00:15,,,,li:pakanana',li:-pakanan-a-',li:-pakanan-a:'-',INS-V.fence-IPFV-2SBJ.SG [PRES],INS-V.fence-IPFV-2SBJ.SG [PRES],
0:00:26,25.73,25730,00:00:25:18,0:00:28,28.357,28357,00:00:28:08,0:00:03,2.627,2627,00:00:02:15,ESP,N pala ka nali:kuchana *porque**,Se puede usar como remedio medicinal,,,,,,
0:00:26,25.73,25730,00:00:25:18,0:00:26,26.255,26255,00:00:26:06,0:00:01,0.525,525,00:00:00:13,,,,N,n,n,EPEN,EPEN,
0:00:26,26.255,26255,00:00:26:06,0:00:27,26.78,26780,00:00:26:19,0:00:01,0.525,525,00:00:00:13,,,,pala,pala,pala,CONJ,CONJ,
0:00:27,26.78,26780,00:00:26:19,0:00:27,27.306,27306,00:00:27:07,0:00:01,0.526,526,00:00:00:13,,,,ka,ka,kah,only,only,
0:00:27,27.306,27306,00:00:27:07,0:00:28,27.831,27831,00:00:27:20,0:00:01,0.525,525,00:00:00:13,,,,nali:kuchana,na-li:-kuchan-a,na-li:-kuchan-a:'-',FUT-INS-V.care-IPFV [2SBJ.SG],FUT-INS-V.care-IPFV [2SBJ.SG],
0:00:28,27.831,27831,00:00:27:20,0:00:28,28.357,28357,00:00:28:08,0:00:01,0.526,526,00:00:00:13,,,,*porque**,porque,porque,INJT,INJT,
0:00:28,28.357,28357,00:00:28:08,0:00:30,30.43,30430,00:00:30:10,0:00:02,2.073,2073,00:00:02:01,ESP,wa: laqsqata:ni akxní n pala ka,cuando los ñiños,,,,,,
0:00:28,28.357,28357,00:00:28:08,0:00:29,28.702,28702,00:00:28:17,0:00:00,0.345,345,00:00:00:08,,,,wa:,wa:,wa:,FOC,FOC,
0:00:29,28.702,28702,00:00:28:17,0:00:29,29.048,29048,00:00:29:01,0:00:00,0.346,346,00:00:00:08,,,,laqsqata:ni,laq-sqata-:n-i,laq-sqata'-an,PL-baby-PL-JNCT,PL-baby-PL,Need to determine plural suffix
0:00:29,29.048,29048,00:00:29:01,0:00:29,29.393,29393,00:00:29:09,0:00:00,0.345,345,00:00:00:08,,,,akxní,akxní,akxní',when,when,
