Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,ESP Epifania Sahinos Pérez / APG Areli Ponce García,Transcription,Traducción,Tokenization,Surface Segmentation,Canonical Segmentation,Surface Glossing,Canonical Glossing,Notes
0:00:00,0,0,00:00:00:00,0:00:05,4.962,4962,00:00:04:24,0:00:05,4.962,4962,00:00:04:24,APG,N li:qalhchiwi:nana:'wi n chu: iyma: n kintawá:'nkani kini wa: n tu: lu:laqapasa:'wi,Hablaremos de esta hierba que nosotras conocemos perféctamente,,,,,,
0:00:00,0,0,00:00:00:00,0:00:00,0.413,413,00:00:00:10,0:00:00,0.413,413,00:00:00:10,,,,N,n,n,EPEN,EPEN,
0:00:00,0.413,413,00:00:00:10,0:00:01,0.827,827,00:00:00:20,0:00:00,0.414,414,00:00:00:10,,,,li:qalhchiwi:nana:'wi,li:-qalh-chiwi:-nan-a:'-w-i,li:-qalh-chiwi:-nan-a:'-'w,INS-mouth-V.talk-INDEF-ANTIP-IPFV-1SBJ.PL-JNCT,INS-mouth-V.talk-INDEF-ANTIP-IPFV-1SBJ.PL,
0:00:01,0.827,827,00:00:00:20,0:00:01,1.24,1240,00:00:01:06,0:00:00,0.413,413,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:01,1.24,1240,00:00:01:06,0:00:02,1.654,1654,00:00:01:16,0:00:00,0.414,414,00:00:00:10,,,,chu:,chu:,chu:,PTCL,PTCL,
0:00:02,1.654,1654,00:00:01:16,0:00:02,2.067,2067,00:00:02:01,0:00:00,0.413,413,00:00:00:10,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:02,2.067,2067,00:00:02:01,0:00:02,2.481,2481,00:00:02:12,0:00:00,0.414,414,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:02,2.481,2481,00:00:02:12,0:00:03,2.894,2894,00:00:02:22,0:00:00,0.413,413,00:00:00:10,,,,kintawá:'nkani,kin-tawa:'n-kan-JNCT,kin-tawa:'n-kan,1POSS-plant-PL.POSS-JNCT,1POSS-plant-PL.POSS,
0:00:03,2.894,2894,00:00:02:22,0:00:03,3.308,3308,00:00:03:07,0:00:00,0.414,414,00:00:00:10,,,,kini,kin-i,kin,PRN.1SBJ.PL-JNCT,PRN.1SBJ.PL,
0:00:03,3.308,3308,00:00:03:07,0:00:04,3.721,3721,00:00:03:18,0:00:00,0.413,413,00:00:00:10,,,,wa:,wa:,wa:,FOC,FOC,
0:00:04,3.721,3721,00:00:03:18,0:00:04,4.135,4135,00:00:04:03,0:00:00,0.414,414,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:04,4.135,4135,00:00:04:03,0:00:05,4.548,4548,00:00:04:13,0:00:00,0.413,413,00:00:00:10,,,,tu:,tu:,tu:,NREL,NREL,
0:00:05,4.548,4548,00:00:04:13,0:00:05,4.962,4962,00:00:04:24,0:00:00,0.414,414,00:00:00:10,,,,lu:laqapasa:'wi,lu:-laqapas-a:'-w-i,lu:-laqapas-a:'-'w,INTNS-V.recognize-IPFV-1SBJ.PL-JNCT [PRES],INTNS-V.recognize-IPFV-1SBJ.PL [PRES],
0:00:05,4.962,4962,00:00:04:24,0:00:08,8.274,8274,00:00:08:06,0:00:03,3.312,3312,00:00:03:07,APG,iynú jkinka:chiki:nkán wa: iyma: mani:kán lhtaká'tsiqna'.,aquí en nuestro pueblo lo que llamamos lhtaká'tsiqna' (Heliconia schiedeana).,,,,,,
0:00:05,4.962,4962,00:00:04:24,0:00:06,5.514,5514,00:00:05:12,0:00:01,0.552,552,00:00:00:13,,,,iynú,iynú,iynú',there,there,
0:00:06,5.514,5514,00:00:05:12,0:00:06,6.066,6066,00:00:06:01,0:00:01,0.552,552,00:00:00:13,,,,jkinka:chiki:nkán,j-kin-ka:-chiki-:n-kán,k-kin-ka:-chiki'-in-kan,LOC-1POSS-PLC-house-PL-PL.POSS,LOC-1POSS-PLC-house-PL-PL.POSS,
0:00:06,6.066,6066,00:00:06:01,0:00:07,6.618,6618,00:00:06:15,0:00:01,0.552,552,00:00:00:13,,,,wa:,wa:,wa:,FOC,FOC,
0:00:07,6.618,6618,00:00:06:15,0:00:07,7.17,7170,00:00:07:04,0:00:01,0.552,552,00:00:00:13,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:07,7.17,7170,00:00:07:04,0:00:08,7.722,7722,00:00:07:18,0:00:01,0.552,552,00:00:00:13,,,,mani:kán,mani:-kán,mani:-kan,V.paint-INDEF,V.paint-INDEF,
0:00:08,7.722,7722,00:00:07:18,0:00:08,8.274,8274,00:00:08:06,0:00:01,0.552,552,00:00:00:13,,,,lhtaká'tsiqna',lhtaká'tsiqna',lhtaká'tsiqna',Heliconia.schiedeana,Heliconia.schiedeana,
0:00:08,8.274,8274,00:00:08:06,0:00:10,10.1,10100,00:00:10:02,0:00:02,1.826,1826,00:00:01:20,APG,Pa: na: laqapasa wixi iyma: lhtaká'tsiqna'.,¿También conoces a este lhtaká'tsiqna'?,,,,,,
0:00:08,8.274,8274,00:00:08:06,0:00:09,8.578,8578,00:00:08:14,0:00:00,0.304,304,00:00:00:07,,,,Pa:,pa:,pa:,Q,Q,
0:00:09,8.578,8578,00:00:08:14,0:00:09,8.882,8882,00:00:08:22,0:00:00,0.304,304,00:00:00:07,,,,na:,na:,na:,aslo,also,
0:00:09,8.882,8882,00:00:08:22,0:00:09,9.187,9187,00:00:09:04,0:00:00,0.305,305,00:00:00:07,,,,laqapasa,laqapas-a,laqapas-a:'-',V.recognize-IPFV [2SBJ.SG PRES],V.recognize-IPFV-2SBJ.SG [PRES],
0:00:09,9.187,9187,00:00:09:04,0:00:09,9.491,9491,00:00:09:12,0:00:00,0.304,304,00:00:00:07,,,,wixi,wix-i,wix,PRN.2SBJ.SG-JNCT,PRN.2SBJ.SG,
0:00:09,9.491,9491,00:00:09:12,0:00:10,9.795,9795,00:00:09:19,0:00:00,0.304,304,00:00:00:07,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:10,9.795,9795,00:00:09:19,0:00:10,10.1,10100,00:00:10:02,0:00:00,0.305,305,00:00:00:07,,,,lhtaká'tsiqna',lhtaká'tsiqna',lhtaká'tsiqna',Heliconia.schiedeana,Heliconia.schiedeana,
0:00:10,10.1,10100,00:00:10:02,0:00:12,12.378,12378,00:00:12:09,0:00:02,2.278,2278,00:00:02:06,ESP,Na: klaqapasa kit lu:anani xa iynú,"También lo conozco, abunda en",,,,,,
0:00:10,10.1,10100,00:00:10:02,0:00:10,10.479,10479,00:00:10:11,0:00:00,0.379,379,00:00:00:09,,,,Na:,na:,na:,aslo,also,
0:00:10,10.479,10479,00:00:10:11,0:00:11,10.859,10859,00:00:10:21,0:00:00,0.38,380,00:00:00:09,,,,klaqapasa,k-laqapas-a,k-laqapas-a:',1SBJ.SG-V.recognize-IPFV,1SBJ.SG-V.recognize-IPFV,
0:00:11,10.859,10859,00:00:10:21,0:00:11,11.239,11239,00:00:11:05,0:00:00,0.38,380,00:00:00:09,,,,kit,kit,kit,PRN.1SBJ.SG,PRN.1SBJ.SG,
0:00:11,11.239,11239,00:00:11:05,0:00:12,11.618,11618,00:00:11:15,0:00:00,0.379,379,00:00:00:09,,,,lu:anani,lu:-anan-i,lu:-anan,INTNS-V.exist-JNCT [3SBJ.SG PRES IPFV],INTNS-V.exist [3SBJ.SG PRES IPFV],
0:00:12,11.618,11618,00:00:11:15,0:00:12,11.998,11998,00:00:11:24,0:00:00,0.38,380,00:00:00:09,,,,xa,xa,xa',PRN.3SBJ.SG,PRN.3SBJ.SG,
0:00:12,11.998,11998,00:00:11:24,0:00:12,12.378,12378,00:00:12:09,0:00:00,0.38,380,00:00:00:09,,,,iynú,iynú,iynú',there,there,
0:00:12,12.378,12378,00:00:12:09,0:00:15,14.7,14700,00:00:14:17,0:00:02,2.322,2322,00:00:02:08,ESP,"jkimpu:kuxtukán, kani:wa anta:ni anán.",nuestros campos de cultivo o en cualquier otro lugar.,,,,,,
0:00:12,12.378,12378,00:00:12:09,0:00:13,12.958,12958,00:00:12:23,0:00:01,0.58,580,00:00:00:14,,,,jkimpu:kuxtukán,j-kim-pu:-kúxtu-kán,k-kin-pu:-kuxtu-kan,LOC-1POSS-CTNR-V.weed-PL.POSS,LOC-1POSS-CTNR-V.weed-PL.POSS,
0:00:13,12.958,12958,00:00:12:23,0:00:14,13.539,13539,00:00:13:13,0:00:01,0.581,581,00:00:00:14,,,,kani:wa,kani:wa,kani:wah,choise,choise,
0:00:14,13.539,13539,00:00:13:13,0:00:14,14.119,14119,00:00:14:02,0:00:01,0.58,580,00:00:00:14,,,,anta:ni,anta:ni,anta:ni,where,where,
0:00:14,14.119,14119,00:00:14:02,0:00:15,14.7,14700,00:00:14:17,0:00:01,0.581,581,00:00:00:14,,,,anán,anán,anan-a:',V.exist [3SBJ.SG PRES IPFV],V.exist-IPFV [3SBJ.SG PRES],
0:00:15,14.7,14700,00:00:14:17,0:00:17,16.999,16999,00:00:16:24,0:00:02,2.299,2299,00:00:02:07,ESP,"Na: nitaxta'ta..., ani:na:ni..., n pala....",En cualquier lugar....,,,,,,
0:00:15,14.7,14700,00:00:14:17,0:00:15,15.159,15159,00:00:15:03,0:00:00,0.459,459,00:00:00:11,,,,Na:,na:,na:,aslo,also,
0:00:15,15.159,15159,00:00:15:03,0:00:16,15.619,15619,00:00:15:15,0:00:00,0.46,460,00:00:00:11,,,,"nitaxta'ta...,",ni-taxta'ta[FS],ni-taxta'ta[FS],NEG-[FS],NEG-[FS],
0:00:16,15.619,15619,00:00:15:15,0:00:16,16.079,16079,00:00:16:01,0:00:00,0.46,460,00:00:00:11,,,,"ani:na:ni...,",ani:na:ni,ani:na:ni,ERROR,ERROR,
0:00:16,16.079,16079,00:00:16:01,0:00:17,16.539,16539,00:00:16:13,0:00:00,0.46,460,00:00:00:11,,,,n,n,n,EPEN,EPEN,
0:00:17,16.539,16539,00:00:16:13,0:00:17,16.999,16999,00:00:16:24,0:00:00,0.46,460,00:00:00:11,,,,pala....,pala,pala,CONJ,CONJ,
0:00:17,16.999,16999,00:00:16:24,0:00:19,19.151,19151,00:00:19:03,0:00:02,2.152,2152,00:00:02:03,ESP,"Ni..., ninapuni ma: anta:ni nacha'na'....",No creas que no crecerá en donde lo siembres....,,,,,,
0:00:17,16.999,16999,00:00:16:24,0:00:17,17.429,17429,00:00:17:10,0:00:00,0.43,430,00:00:00:10,,,,"Ni...,",ni-[FS],ni-[FS],NEG-[FS],NEG-[FS],
0:00:17,17.429,17429,00:00:17:10,0:00:18,17.859,17859,00:00:17:21,0:00:00,0.43,430,00:00:00:10,,,,ninapuni,ni-na-pun-i,ni-na-pun-a:',NEG-FUT-V.germinate-JNCT [3SBJ.SG IPFV],NEG-FUT-V.germinate-IPFV [3SBJ.SG],
0:00:18,17.859,17859,00:00:17:21,0:00:18,18.29,18290,00:00:18:07,0:00:00,0.431,431,00:00:00:10,,,,ma:,ma:,ma:,TAG,TAG,
0:00:18,18.29,18290,00:00:18:07,0:00:19,18.72,18720,00:00:18:18,0:00:00,0.43,430,00:00:00:10,,,,anta:ni,anta:ni,anta:ni,where,where,
0:00:19,18.72,18720,00:00:18:18,0:00:19,19.151,19151,00:00:19:03,0:00:00,0.431,431,00:00:00:10,,,,nacha'na'....,na-cha'n-a-',na-cha'n-a:'-',FUT-V.plant-IPFV-2SBJ.SG,FUT-V.plant-IPFV-2SBJ.SG,
0:00:19,19.151,19151,00:00:19:03,0:00:23,23.08,23080,00:00:23:02,0:00:04,3.929,3929,00:00:03:23,ESP,"N pi na: lu:stla:ni xa', lu:lakaslipinki xa wa: iyma: lu:wá kini","Pero este es muy bonito, es muy liso y es lo que más",,,,,,
0:00:19,19.151,19151,00:00:19:03,0:00:20,19.508,19508,00:00:19:12,0:00:00,0.357,357,00:00:00:08,,,,N,n,n,EPEN,EPEN,
0:00:20,19.508,19508,00:00:19:12,0:00:20,19.865,19865,00:00:19:21,0:00:00,0.357,357,00:00:00:08,,,,pi,pi,pi,COMP,COMP,
0:00:20,19.865,19865,00:00:19:21,0:00:20,20.222,20222,00:00:20:05,0:00:00,0.357,357,00:00:00:08,,,,na:,na:,na:,aslo,also,
