Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,ESP Epifania Sahinos Pérez / APG Areli Ponce García,Transcription,Traducción,Tokenization,Surface Segmentation,Canonical Segmentation,Surface Glossing,Canonical Glossing,Notes
0:00:00,0,0,00:00:00:00,0:00:04,4.38,4380,00:00:04:09,0:00:04,4.38,4380,00:00:04:09,APG,Wa: iyma: n tlanka:liya nali:qalhchiwi:nana:'wi kini iyma:,En estos momentos hablaremos de,,,,,,
0:00:00,0,0,00:00:00:00,0:00:01,0.625,625,00:00:00:15,0:00:01,0.625,625,00:00:00:15,,,,wa:,wa:,wa:,FOC,FOC,
0:00:01,0.625,625,00:00:00:15,0:00:01,1.251,1251,00:00:01:06,0:00:01,0.626,626,00:00:00:15,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:01,1.251,1251,00:00:01:06,0:00:02,1.877,1877,00:00:01:21,0:00:01,0.626,626,00:00:00:15,,,,n,n,n,EPEN,EPEN,
0:00:02,1.877,1877,00:00:01:21,0:00:03,2.502,2502,00:00:02:12,0:00:01,0.625,625,00:00:00:15,,,,tlanka:liya,tlanka:liya,tlanka:liyah,moment,moment,
0:00:03,2.502,2502,00:00:02:12,0:00:03,3.128,3128,00:00:03:03,0:00:01,0.626,626,00:00:00:15,,,,nali:qalhchiwi:nana:'wi,na-li:-qalh-chiwi:-nan-a:'-w-i,na-li:-qalh-chiwi:-nan-a:'-'w,FUT-INS-mouth-V.talk-INDEF-ANTIP-IPFV-1SBJ.PL-JNCT,FUT-INS-mouth-V.talk-INDEF-ANTIP-IPFV-1SBJ.PL,
0:00:03,3.128,3128,00:00:03:03,0:00:04,3.754,3754,00:00:03:18,0:00:01,0.626,626,00:00:00:15,,,,kini,kin-i,kin,PRN.1SBJ.PL-JNCT,PRN.1SBJ.PL,
0:00:04,3.754,3754,00:00:03:18,0:00:04,4.38,4380,00:00:04:09,0:00:01,0.626,626,00:00:00:15,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:04,4.38,4380,00:00:04:09,0:00:06,6.212,6212,00:00:06:05,0:00:02,1.832,1832,00:00:01:20,APG,iyma: n tawá:'n usa,esta hierba o,,,,,,
0:00:04,4.38,4380,00:00:04:09,0:00:05,4.838,4838,00:00:04:20,0:00:00,0.458,458,00:00:00:11,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:05,4.838,4838,00:00:04:20,0:00:05,5.296,5296,00:00:05:07,0:00:00,0.458,458,00:00:00:11,,,,n,n,n,EPEN,EPEN,
0:00:05,5.296,5296,00:00:05:07,0:00:06,5.754,5754,00:00:05:18,0:00:00,0.458,458,00:00:00:11,,,,tawá:'n,tawá:'n,tawá:'n,plant,plant,
0:00:06,5.754,5754,00:00:05:18,0:00:06,6.212,6212,00:00:06:05,0:00:00,0.458,458,00:00:00:11,,,,usa,usa,usa,INTJ,INTJ,
0:00:06,6.212,6212,00:00:06:05,0:00:08,7.921,7921,00:00:07:23,0:00:02,1.709,1709,00:00:01:17,APG,ki'wi iyma: wanikani li:wa:pan.,árbol que llaman li:wa:pan (Heliconia spp.).,,,,,,
0:00:06,6.212,6212,00:00:06:05,0:00:07,6.639,6639,00:00:06:15,0:00:00,0.427,427,00:00:00:10,,,,ki'wi,ki'wi,ki'wi',tree,tree,
0:00:07,6.639,6639,00:00:06:15,0:00:07,7.066,7066,00:00:07:01,0:00:00,0.427,427,00:00:00:10,,,,iyma:,iyma:,iyma:,DEM,DEM,
0:00:07,7.066,7066,00:00:07:01,0:00:07,7.493,7493,00:00:07:12,0:00:00,0.427,427,00:00:00:10,,,,wanikani,wa-ni-kan-i,wan-ni-kan,V.say-DAT-REFL-JNCT [3SBJ.SG PRES IPFV],V.say-DAT-REFL [3SBJ.SG PRES IPFV],
0:00:07,7.493,7493,00:00:07:12,0:00:08,7.921,7921,00:00:07:23,0:00:00,0.428,428,00:00:00:10,,,,li:wa:pan,li:wa:pan,li:wa:pan,Heliconia.schiedeana,Heliconia.schiedeana,
0:00:08,7.921,7921,00:00:07:23,0:00:09,9.345,9345,00:00:09:08,0:00:01,1.424,1424,00:00:01:10,APG,Nixkatsi wixi n pala na: laqapasa'.,¿No sé si lo conoces?,,,,,,
0:00:08,7.921,7921,00:00:07:23,0:00:08,8.158,8158,00:00:08:03,0:00:00,0.237,237,00:00:00:05,,,,nixkatsi,ni-x-kats-i,ni-x-kats,NEG-???-V.know-JNCT,NEG-???-V.know,
0:00:08,8.158,8158,00:00:08:03,0:00:08,8.395,8395,00:00:08:09,0:00:00,0.237,237,00:00:00:05,,,,wixi,wix-i,wix,PRN.2SBJ.SG-JNCT,PRN.2SBJ.SG,
0:00:08,8.395,8395,00:00:08:09,0:00:09,8.633,8633,00:00:08:15,0:00:00,0.238,238,00:00:00:05,,,,n,n,n,EPEN,EPEN,
0:00:09,8.633,8633,00:00:08:15,0:00:09,8.87,8870,00:00:08:21,0:00:00,0.237,237,00:00:00:05,,,,pala,pala,pala,CONJ,CONJ,
0:00:09,8.87,8870,00:00:08:21,0:00:09,9.107,9107,00:00:09:02,0:00:00,0.237,237,00:00:00:05,,,,na:,na:,na:,aslo,also,
0:00:09,9.107,9107,00:00:09:02,0:00:09,9.345,9345,00:00:09:08,0:00:00,0.238,238,00:00:00:05,,,,laqapasa',laqapas-a-',laqapas-a:'-',V.recognize-IPFV-2SBJ.SG [PRES],V.recognize-IPFV-2SBJ.SG [PRES],
0:00:09,9.345,9345,00:00:09:08,0:00:12,11.697,11697,00:00:11:17,0:00:02,2.352,2352,00:00:02:08,ESP,"Xli:ka:na n ti: kilhwampa:'t, na: klaqapasa n kit,","Lo que dices es verdad, también lo conozco,",,,,,,
0:00:09,9.345,9345,00:00:09:08,0:00:10,9.639,9639,00:00:09:15,0:00:00,0.294,294,00:00:00:07,,,,xli:ka:na,xli:ka:na,xli:ka:nah,true,true,
0:00:10,9.639,9639,00:00:09:15,0:00:10,9.933,9933,00:00:09:23,0:00:00,0.294,294,00:00:00:07,,,,n,n,n,EPEN,EPEN,
0:00:10,9.933,9933,00:00:09:23,0:00:10,10.227,10227,00:00:10:05,0:00:00,0.294,294,00:00:00:07,,,,ti:,ti:,ti:,HREL,HREL,
0:00:10,10.227,10227,00:00:10:05,0:00:11,10.521,10521,00:00:10:13,0:00:00,0.294,294,00:00:00:07,,,,kilhwampa:'t,kilh-wám-pa:'-t,kilh.wan-pa:'-t,mouth-V.say-PROG.2SBJ-2SBJ.SG,mouth-V.say-PROG.2SBJ-2SBJ.SG,
0:00:11,10.521,10521,00:00:10:13,0:00:11,10.815,10815,00:00:10:20,0:00:00,0.294,294,00:00:00:07,,,,na:,na:,na:,aslo,also,
0:00:11,10.815,10815,00:00:10:20,0:00:11,11.109,11109,00:00:11:02,0:00:00,0.294,294,00:00:00:07,,,,klaqapasa,k-laqapas-a,k-laqapas-a:',1SBJ.SG-V.recognize-IPFV,1SBJ.SG-V.recognize-IPFV,
0:00:11,11.109,11109,00:00:11:02,0:00:11,11.403,11403,00:00:11:10,0:00:00,0.294,294,00:00:00:07,,,,n,n,n,EPEN,EPEN,
0:00:11,11.403,11403,00:00:11:10,0:00:12,11.697,11697,00:00:11:17,0:00:00,0.294,294,00:00:00:07,,,,kit,kit,kit,PRN.1SBJ.SG,PRN.1SBJ.SG,
0:00:12,11.697,11697,00:00:11:17,0:00:14,14.095,14095,00:00:14:02,0:00:02,2.398,2398,00:00:02:09,ESP,ananqó:' xa n chu: lakatsaní:n ma:,crece en los alrededores este,,,,,,
0:00:12,11.697,11697,00:00:11:17,0:00:12,12.096,12096,00:00:12:02,0:00:00,0.399,399,00:00:00:09,,,,ananqó:',anan-qó:',anan-qó:'-a:',V.exist-3PL [PRES IPFV],V.exist-3PL-IPFV [PRES],
0:00:12,12.096,12096,00:00:12:02,0:00:12,12.496,12496,00:00:12:12,0:00:00,0.4,400,00:00:00:10,,,,xa,xa,xa',PRN.3SBJ.SG,PRN.3SBJ.SG,
0:00:12,12.496,12496,00:00:12:12,0:00:13,12.896,12896,00:00:12:22,0:00:00,0.4,400,00:00:00:10,,,,n,n,n,EPEN,EPEN,
0:00:13,12.896,12896,00:00:12:22,0:00:13,13.295,13295,00:00:13:07,0:00:00,0.399,399,00:00:00:09,,,,chu:,chu:,chu:,PTCL,PTCL,
0:00:13,13.295,13295,00:00:13:07,0:00:14,13.695,13695,00:00:13:17,0:00:00,0.4,400,00:00:00:10,,,,lakatsaní:n,laka-tsa-n-í:n,laka-tsu:'w-n-in,face-small-NMLZ-PL,face-small-NMLZ-PL,
0:00:14,13.695,13695,00:00:13:17,0:00:14,14.095,14095,00:00:14:02,0:00:00,0.4,400,00:00:00:10,,,,ma:,ma:,ma:,TAG,TAG,
0:00:14,14.095,14095,00:00:14:02,0:00:18,17.644,17644,00:00:17:16,0:00:04,3.549,3549,00:00:03:13,ESP,"li:wa:pan, na: katu:wa n tu: li:maklakaskinkán.","li:wa:pan, también se usa para varias cosas.",,,,,,
0:00:14,14.095,14095,00:00:14:02,0:00:15,14.686,14686,00:00:14:17,0:00:01,0.591,591,00:00:00:14,,,,li:wa:pan,li:wa:pan,li:wa:pan,Heliconia.schiedeana,Heliconia.schiedeana,
0:00:15,14.686,14686,00:00:14:17,0:00:15,15.278,15278,00:00:15:06,0:00:01,0.592,592,00:00:00:14,,,,na:,na:,na:,aslo,also,
0:00:15,15.278,15278,00:00:15:06,0:00:16,15.869,15869,00:00:15:21,0:00:01,0.591,591,00:00:00:14,,,,katu:wa,katu:wa,katu:wah,many,many,
0:00:16,15.869,15869,00:00:15:21,0:00:16,16.461,16461,00:00:16:11,0:00:01,0.592,592,00:00:00:14,,,,n,n,n,EPEN,EPEN,
0:00:16,16.461,16461,00:00:16:11,0:00:17,17.052,17052,00:00:17:01,0:00:01,0.591,591,00:00:00:14,,,,tu:,tu:,tu:,NREL,NREL,
0:00:17,17.052,17052,00:00:17:01,0:00:18,17.644,17644,00:00:17:16,0:00:01,0.592,592,00:00:00:14,,,,li:maklakaskinkán,li:-mak-lakaskin-kán,li-mak-lakaskin-kan,INS-body-V.use-INDEF,INS-body-V.use-INDEF,
