Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,ESP Epifania Sahinos Pérez / APG Areli Ponce García,Transcription,Traducción,Tokenization,Surface Segmentation,Canonical Segmentation,Surface Glossing,Canonical Glossing,Notes
0:00:00,0,0,00:00:00:00,0:00:04,3.672,3672,00:00:03:16,0:00:04,3.672,3672,00:00:03:16,APG,"Wa: n chu: ma: nali:qalhchiwi:nana:'wi x...,",Ahora hablaremos,,,,,,
0:00:00,0,0,00:00:00:00,0:00:01,0.612,612,00:00:00:15,0:00:01,0.612,612,00:00:00:15,,,,Wa:,wa:,wa:,FOC,FOC,
0:00:01,0.612,612,00:00:00:15,0:00:01,1.224,1224,00:00:01:05,0:00:01,0.612,612,00:00:00:15,,,,n,n,n,EPEN,EPEN,
0:00:01,1.224,1224,00:00:01:05,0:00:02,1.836,1836,00:00:01:20,0:00:01,0.612,612,00:00:00:15,,,,chu:,chu:,chu:,PTCL,PTCL,
0:00:02,1.836,1836,00:00:01:20,0:00:02,2.448,2448,00:00:02:11,0:00:01,0.612,612,00:00:00:15,,,,ma:,ma:,ma:,TAG,TAG,
0:00:02,2.448,2448,00:00:02:11,0:00:03,3.06,3060,00:00:03:01,0:00:01,0.612,612,00:00:00:15,,,,nali:qalhchiwi:nana:'wi,na-li:-qalh-chiwi:-nan-a:'-w-i,na-li:-qalh-chiwi:-nan-a:'-'w,FUT-INS-mouth-V.talk-INDEF-ANTIP-IPFV-1SBJ.PL-JNCT,FUT-INS-mouth-V.talk-INDEF-ANTIP-IPFV-1SBJ.PL,
0:00:03,3.06,3060,00:00:03:01,0:00:04,3.672,3672,00:00:03:16,0:00:01,0.612,612,00:00:00:15,,,,"x...,",x-,x-,3POSS-,3POSS-,
0:00:04,3.672,3672,00:00:03:16,0:00:07,7.079,7079,00:00:07:01,0:00:03,3.407,3407,00:00:03:10,APG,"ma: n kintawa:'nkán, wa: n tu: li:laqapasa:'wi kini n talhtsísiqna',",de esta hierba que conocemos como talhtsísiqna' [(talhtsi' semilla siqna' plátano) (Musa ornata)].,,,,,,
0:00:04,3.672,3672,00:00:03:16,0:00:04,4.012,4012,00:00:04:00,0:00:00,0.34,340,00:00:00:08,,,,ma:,ma:,ma:,TAG,TAG,
0:00:04,4.012,4012,00:00:04:00,0:00:04,4.353,4353,00:00:04:08,0:00:00,0.341,341,00:00:00:08,,,,n,n,n,EPEN,EPEN,
0:00:04,4.353,4353,00:00:04:08,0:00:05,4.694,4694,00:00:04:17,0:00:00,0.341,341,00:00:00:08,,,,kintawa:'nkán,kin-tawa:'n-kán,kin-tawa:'n-kan,1POSS-plant-PL.POSS,1POSS-plant-PL.POSS,
0:00:05,4.694,4694,00:00:04:17,0:00:05,5.034,5034,00:00:05:00,0:00:00,0.34,340,00:00:00:08,,,,wa:,wa:,wa:,FOC,FOC,
0:00:05,5.034,5034,00:00:05:00,0:00:05,5.375,5375,00:00:05:09,0:00:00,0.341,341,00:00:00:08,,,,n,n,n,EPEN,EPEN,
0:00:05,5.375,5375,00:00:05:09,0:00:06,5.716,5716,00:00:05:17,0:00:00,0.341,341,00:00:00:08,,,,tu:,tu:,tu:,NREL,NREL,
0:00:06,5.716,5716,00:00:05:17,0:00:06,6.056,6056,00:00:06:01,0:00:00,0.34,340,00:00:00:08,,,,li:laqapasa:'wi,li:-laqapas-a:'-w-i,li:-laqapas-a:'-'w,INS-V.recognize-IPFV-1SBJ.PL-JNCT [PRES],INS-V.recognize-IPFV-1SBJ.PL [PRES],
0:00:06,6.056,6056,00:00:06:01,0:00:06,6.397,6397,00:00:06:09,0:00:00,0.341,341,00:00:00:08,,,,kini,kin-i,kin,PRN.1SBJ.PL-JNCT,PRN.1SBJ.PL,
0:00:06,6.397,6397,00:00:06:09,0:00:07,6.738,6738,00:00:06:18,0:00:00,0.341,341,00:00:00:08,,,,n,n,n,EPEN,EPEN,
0:00:07,6.738,6738,00:00:06:18,0:00:07,7.079,7079,00:00:07:01,0:00:00,0.341,341,00:00:00:08,,,,talhtsísiqna',talhtsísiqna',talhtsísiqna',Musa.ornata,Musa.ornata,
0:00:07,7.079,7079,00:00:07:01,0:00:09,9.067,9067,00:00:09:01,0:00:02,1.988,1988,00:00:01:24,APG,nitakatsí: wixi n pala na: laqapasa,¿No sé si lo conozcas?,,,,,,
0:00:07,7.079,7079,00:00:07:01,0:00:08,7.647,7647,00:00:07:16,0:00:00,0.284,284,00:00:00:07,,,,nitakatsí:,ni-ta-katsí:,ni-ta-katsí:,NEG-INC-V.know,NEG-INC-V.know,
0:00:08,7.647,7647,00:00:07:16,0:00:08,7.931,7931,00:00:07:23,0:00:00,0.284,284,00:00:00:07,,,,wixi,wix-i,wix,PRN.2SBJ.SG-JNCT,PRN.2SBJ.SG,
0:00:08,7.931,7931,00:00:07:23,0:00:08,8.215,8215,00:00:08:05,0:00:00,0.284,284,00:00:00:07,,,,n,n,n,EPEN,EPEN,
0:00:08,8.215,8215,00:00:08:05,0:00:08,8.499,8499,00:00:08:12,0:00:00,0.284,284,00:00:00:07,,,,pala,pala,pala,CONJ,CONJ,
0:00:08,8.499,8499,00:00:08:12,0:00:09,8.783,8783,00:00:08:19,0:00:00,0.284,284,00:00:00:07,,,,na:,na:,na:,aslo,also,
