Method,Language,Score,Metric
Separate,arp,0.092,Glossing MER
Joint,arp,0.128,Glossing MER
Pipeline,arp,0.14,Glossing MER
Girrbach (2023),arp,0.185,Glossing MER
PolyGloss [multitask],arp,0.177,Glossing MER
PolyGloss [concat],arp,0.171,Glossing MER
PolyGloss [interleaved],arp,0.152,Glossing MER
Separate,ddo,0.059,Glossing MER
Joint,ddo,0.064,Glossing MER
Pipeline,ddo,0.076,Glossing MER
Girrbach (2023),ddo,0.11,Glossing MER
PolyGloss [multitask],ddo,0.089,Glossing MER
PolyGloss [concat],ddo,0.08,Glossing MER
PolyGloss [interleaved],ddo,0.072,Glossing MER
Separate,git,0.977,Glossing MER
Joint,git,0.841,Glossing MER
Pipeline,git,0.972,Glossing MER
Girrbach (2023),git,0.732,Glossing MER
PolyGloss [multitask],git,0.603,Glossing MER
PolyGloss [concat],git,0.597,Glossing MER
PolyGloss [interleaved],git,0.597,Glossing MER
Separate,usp,0.116,Glossing MER
Joint,usp,0.17,Glossing MER
Pipeline,usp,0.173,Glossing MER
Girrbach (2023),usp,0.242,Glossing MER
PolyGloss [multitask],usp,0.162,Glossing MER
PolyGloss [concat],usp,0.165,Glossing MER
PolyGloss [interleaved],usp,0.16,Glossing MER
Separate,ain,0.08,Glossing MER
Joint,ain,0.075,Glossing MER
Pipeline,ain,0.096,Glossing MER
Girrbach (2023),ain,0.353,Glossing MER
PolyGloss [multitask],ain,0.122,Glossing MER
PolyGloss [concat],ain,0.108,Glossing MER
PolyGloss [interleaved],ain,0.095,Glossing MER
Separate,lez,0.38,Glossing MER
Joint,lez,0.382,Glossing MER
Pipeline,lez,0.454,Glossing MER
Girrbach (2023),lez,0.392,Glossing MER
PolyGloss [multitask],lez,0.383,Glossing MER
PolyGloss [concat],lez,0.357,Glossing MER
PolyGloss [interleaved],lez,0.357,Glossing MER
Separate,ntu,0.184,Glossing MER
Joint,ntu,0.144,Glossing MER
Pipeline,ntu,0.238,Glossing MER
Girrbach (2023),ntu,0.266,Glossing MER
PolyGloss [multitask],ntu,0.189,Glossing MER
PolyGloss [concat],ntu,0.18,Glossing MER
PolyGloss [interleaved],ntu,0.142,Glossing MER
Separate,nyb,0.283,Glossing MER
Joint,nyb,0.225,Glossing MER
Pipeline,nyb,0.314,Glossing MER
Girrbach (2023),nyb,0.246,Glossing MER
PolyGloss [multitask],nyb,0.328,Glossing MER
PolyGloss [concat],nyb,0.31,Glossing MER
PolyGloss [interleaved],nyb,0.222,Glossing MER
Separate,ruc,0.292,Glossing MER
Joint,ruc,0.346,Glossing MER
Pipeline,ruc,0.433,Glossing MER
Girrbach (2023),ruc,0.512,Glossing MER
PolyGloss [multitask],ruc,0.329,Glossing MER
PolyGloss [concat],ruc,0.315,Glossing MER
PolyGloss [interleaved],ruc,0.306,Glossing MER
Separate,arp,0.921,Segmentation F1
Joint,arp,0.924,Segmentation F1
Pipeline,arp,0.921,Segmentation F1
Girrbach (2023),arp,0.531,Segmentation F1
PolyGloss [multitask],arp,0.903,Segmentation F1
PolyGloss [concat],arp,0.901,Segmentation F1
PolyGloss [interleaved],arp,0.91,Segmentation F1
Separate,ddo,0.975,Segmentation F1
Joint,ddo,0.976,Segmentation F1
Pipeline,ddo,0.975,Segmentation F1
Girrbach (2023),ddo,0.447,Segmentation F1
PolyGloss [multitask],ddo,0.967,Segmentation F1
PolyGloss [concat],ddo,0.964,Segmentation F1
PolyGloss [interleaved],ddo,0.972,Segmentation F1
Separate,git,0.191,Segmentation F1
Joint,git,0.152,Segmentation F1
Pipeline,git,0.191,Segmentation F1
Girrbach (2023),git,0.241,Segmentation F1
PolyGloss [multitask],git,0.605,Segmentation F1
PolyGloss [concat],git,0.589,Segmentation F1
PolyGloss [interleaved],git,0.595,Segmentation F1
Separate,usp,0.851,Segmentation F1
